"Screenlight Premiere Pro Marker Export 1.0",,,,
"Name:","Time:","Duration:","Marker Color:","Comment:"
"Broadcaster",394.0,0,#718637,""
"Broadcaster",717.0,0,#718637,""
"Broadcaster",767.0,0,#718637,""
"Broadcaster",848.0,0,#718637,""
"Broadcaster",893.0,0,#718637,""
"Broadcaster",1065.0,0,#718637,""
"Broadcaster",1652.0,0,#718637,""
"Broadcaster",1706.0,0,#718637,""
"Broadcaster",1743.0,0,#718637,""
"Broadcaster",1771.0,0,#718637,""
"Broadcaster",1861.0,0,#718637,""
"Broadcaster",1912.0,0,#718637,""
"Broadcaster",1934.0,0,#718637,""
"Broadcaster",1942.0,0,#718637,""
"Broadcaster",2067.0,0,#718637,""
"Broadcaster",2158.0,0,#718637,""
"Broadcaster",2251.0,0,#718637,""
"Broadcaster",2309.0,0,#718637,""
"Broadcaster",2398.0,0,#718637,""
"Broadcaster",2495.0,0,#718637,""
"Broadcaster",2613.0,0,#718637,""
"Broadcaster",2817.0,0,#718637,""
"Broadcaster",3220.0,0,#718637,""
"Broadcaster",3278.0,0,#718637,""
"Broadcaster",3288.0,0,#718637,""
"Broadcaster",3299.0,0,#718637,""
"Broadcaster",3344.0,0,#718637,""
"Broadcaster",3433.0,0,#718637,""
"Broadcaster",3478.0,0,#718637,""
"Broadcaster",3510.0,0,#718637,""
"Broadcaster",3533.0,0,#718637,""
"Broadcaster",3602.0,0,#718637,""
"Broadcaster",3783.0,0,#718637,""
"Broadcaster",3842.0,0,#718637,""
"Broadcaster",3953.0,0,#718637,""
"Broadcaster",4016.0,0,#718637,""
"Broadcaster",4055.0,0,#718637,""
"Broadcaster",4148.0,0,#718637,""
"Broadcaster",4171.0,0,#718637,""
"Broadcaster",4290.0,0,#718637,""
"Broadcaster",4505.0,0,#718637,""
"Broadcaster",4524.0,0,#718637,""
"Broadcaster",4602.0,0,#718637,""
"Broadcaster",4638.0,0,#718637,""
"Broadcaster",4703.0,0,#718637,""
"Broadcaster",5023.0,0,#718637,""
"Broadcaster",5099.0,0,#718637,""
"Broadcaster",5156.0,0,#718637,""
"Broadcaster",5203.0,0,#718637,""
"Broadcaster",5213.0,0,#718637,""
"Broadcaster",5234.0,0,#718637,""
"Broadcaster",5262.0,0,#718637,""
"Broadcaster",5449.0,0,#718637,""
"Broadcaster",5524.0,0,#718637,""
"Broadcaster",5719.0,0,#718637,""
"Broadcaster",6139.0,0,#718637,""
"Broadcaster",6154.0,0,#718637,""
"Broadcaster",6292.0,0,#718637,"에포나퀘 달림"
"Broadcaster",6369.0,0,#718637,""
"Broadcaster",6394.0,0,#718637,""
"Broadcaster",6528.0,0,#718637,""
"Broadcaster",6693.0,0,#718637,"클럽애비뉴 섬마"
"Broadcaster",6840.0,0,#718637,"휴양지퀘만 깨짐"
"Broadcaster",6911.0,0,#718637,""
"Broadcaster",6929.0,0,#718637,""
"Broadcaster",6994.0,0,#718637,""
"Broadcaster",7063.0,0,#718637,""
"Broadcaster",7079.0,0,#718637,""
"Broadcaster",7247.0,0,#718637,""
"Broadcaster",7303.0,0,#718637,""
"Broadcaster",7372.0,0,#718637,""
"Broadcaster",7397.0,0,#718637,""
"Broadcaster",7433.0,0,#718637,""
"Broadcaster",7660.0,0,#718637,""
"Broadcaster",7741.0,0,#718637,""
"Broadcaster",7996.0,0,#718637,""
"Broadcaster",8023.0,0,#718637,""
"Broadcaster",8593.0,0,#718637,""
"Broadcaster",8905.0,0,#718637,""
"Broadcaster",8979.0,0,#718637,""
"Broadcaster",9168.0,0,#718637,""
"Broadcaster",9307.0,0,#718637,""
"Broadcaster",9500.0,0,#718637,""
"Broadcaster",9550.0,0,#718637,""
"Broadcaster",9640.0,0,#718637,""
"Broadcaster",9709.0,0,#718637,""
"Broadcaster",10087.0,0,#718637,""
"Broadcaster",10155.0,0,#718637,""
"Broadcaster",10799.0,0,#718637,""
"Broadcaster",10870.0,0,#718637,""
"Broadcaster",11079.0,0,#718637,""
"Broadcaster",11164.0,0,#718637,""
"Broadcaster",11299.0,0,#718637,""
"Broadcaster",11355.0,0,#718637,""
"Broadcaster",11443.0,0,#718637,""
"Broadcaster",11756.0,0,#718637,""
"Broadcaster",11840.0,0,#718637,""
"Broadcaster",12535.0,0,#718637,""
"Broadcaster",12637.0,0,#718637,""
"Broadcaster",12968.0,0,#718637,""
"Broadcaster",13094.0,0,#718637,""
"Broadcaster",13121.0,0,#718637,""
"Broadcaster",13269.0,0,#718637,""
"Broadcaster",13409.0,0,#718637,""
"Broadcaster",13496.0,0,#718637,""
"Broadcaster",13894.0,0,#718637,""
"Broadcaster",13957.0,0,#718637,""
"Broadcaster",14049.0,0,#718637,""
"Broadcaster",14481.0,0,#718637,""
"Broadcaster",15261.0,0,#718637,""
"Broadcaster",15352.0,0,#718637,""
"Broadcaster",16340.0,0,#718637,""
"Broadcaster",16583.0,0,#718637,""
"Broadcaster",16791.0,0,#718637,"레이드 추가로 감"
"Broadcaster",17427.0,0,#718637,""
"Broadcaster",17634.0,0,#718637,""
"Broadcaster",17725.0,0,#718637,""
"Broadcaster",17813.0,0,#718637,""
"Broadcaster",17839.0,0,#718637,""
"Broadcaster",18165.0,0,#718637,""
"Broadcaster",18314.0,0,#718637,""
"Broadcaster",19144.0,0,#718637,""
"Broadcaster",19175.0,0,#718637,""
"Broadcaster",19324.0,0,#718637,""
"Broadcaster",19884.0,0,#718637,""
"Broadcaster",20227.0,0,#718637,""
"Broadcaster",21331.0,0,#718637,""
"Broadcaster",21503.0,0,#718637,""
"Broadcaster",22018.0,0,#718637,""
"Broadcaster",22092.0,0,#718637,""
"Broadcaster",22245.0,0,#718637,""
"Broadcaster",22350.0,0,#718637,""
"Broadcaster",22514.0,0,#718637,""
